state_ut,area,geography_type,hh_surveyed,women_interviewed,anc_first_trimester_pct,anc_4plus_visits_pct,tetanus_protected_birth_pct,ifa_100days_pct,ifa_180days_pct,mcp_card_pct,postnatal_care_mother_2days_pct,oop_cost_public_delivery_rs,institutional_births_pct,institutional_births_public_pct,skilled_birth_attendance_pct,caesarean_overall_pct,caesarean_private_pct,caesarean_public_pct,full_immunisation_card_recall_pct,bcg_pct,polio3_pct,penta_dpt3_pct,mcv1_pct,mcv2_24to35m_pct,rotavirus3_pct,vitamin_a_pct,breastfed_1hour_pct,exclusive_breastfed_u6m_pct,adequate_diet_6to23m_pct,stunted_pct,wasted_pct,severely_wasted_pct,underweight_pct,overweight_child_pct,children_anaemic_6to59m_pct,women_bmi_below_normal_pct,women_anaemic_all_pct,women_anaemic_pregnant_pct,neonatal_mortality_rate,infant_mortality_rate,under5_mortality_rate,total_fertility_rate,women_married_before18_pct,women_literate_pct,women_10plus_yrs_school_pct,improved_drinking_water_pct,improved_sanitation_pct,clean_cooking_fuel_pct,health_insurance_pct
Dadra and Nagar Haveli & Daman and Diu,Total,State/UT,2676.0,2713.0,77.74,86.18,84.61,59.76,36.19,98.83,91.59,676.99,96.52,71.9,97.79,22.86,42.47,17.25,94.88,98.07,96.11,97.2,96.2,44.19,3.69,86.16,25.93,79.36,10.22,39.42,21.59,4.28,38.7,1.85,75.8,25.07,62.51,60.66,21.43,31.84,36.99,1.84,26.41,77.26,35.75,95.37,65.76,79.94,51.99
Goa,Urban,State/UT,1143.0,1240.0,66.51,92.94,98.01,87.03,61.44,99.66,96.52,3875.33,99.56,53.09,98.56,39.08,46.55,32.86,77.86,96.48,83.82,89.34,92.89,23.18,2.34,94.35,60.72,,21.08,24.26,17.69,6.44,22.45,2.24,53.28,13.05,40.03,46.1,,,,1.26,7.67,92.64,73.01,98.96,88.99,98.8,65.07
Goa,Rural,State/UT,713.0,790.0,76.15,93.1,94.17,88.19,70.48,100.0,93.71,3705.89,100.0,61.14,100.0,40.08,56.62,29.56,88.07,100.0,95.14,92.92,92.92,19.51,12.25,88.06,62.93,,22.17,28.23,21.52,9.39,26.59,3.63,53.09,14.99,37.36,,,,,1.36,3.18,93.43,69.31,97.81,86.35,93.12,67.46
Goa,Total,State/UT,1856.0,2030.0,70.32,93.0,96.49,87.49,65.02,99.8,95.4,3803.57,99.73,56.18,99.11,39.46,50.0,31.48,81.94,97.89,88.35,90.77,92.9,21.72,6.3,91.94,61.63,61.37,21.54,25.77,19.12,7.54,24.0,2.76,53.2,13.83,38.95,40.99,5.63,5.63,10.6,1.3,5.83,92.96,71.5,98.49,87.92,96.5,66.04
Gujarat,Urban,State/UT,9232.0,10163.0,83.71,82.43,91.43,62.04,45.45,96.65,93.1,2026.91,97.79,36.59,96.75,30.69,38.03,20.27,77.02,95.61,79.66,85.2,88.49,24.32,2.9,86.76,34.39,70.26,6.63,32.35,22.36,9.74,33.28,4.6,77.58,17.24,61.26,55.59,16.81,24.09,26.7,1.65,14.16,86.83,47.91,99.35,89.26,94.33,36.27
Gujarat,Rural,State/UT,20136.0,23180.0,76.39,73.28,87.56,58.68,41.8,98.29,87.49,1534.9,92.16,47.25,91.05,15.34,24.95,8.75,75.94,94.16,79.53,86.62,85.81,29.04,1.75,84.78,39.85,62.4,5.5,42.98,26.73,11.06,43.51,3.54,81.18,30.85,67.63,66.44,24.76,35.46,44.22,2.0,26.91,69.03,23.63,95.65,63.27,46.09,41.08
Gujarat,Total,State/UT,29368.0,33343.0,79.27,76.89,89.08,60.0,43.24,97.65,89.7,1697.37,94.25,43.29,93.17,21.03,30.78,12.36,76.34,94.7,79.58,86.09,86.82,27.27,2.18,85.55,37.78,65.01,5.92,39.02,25.1,10.57,39.68,3.93,79.69,25.15,64.98,62.55,21.8,31.22,37.64,1.86,21.78,76.45,33.76,97.18,74.02,66.85,39.01
Haryana,Urban,State/UT,5745.0,6625.0,85.03,63.05,88.55,50.68,31.74,94.89,92.39,1767.91,96.1,48.61,95.53,23.54,34.85,14.37,74.3,95.9,77.82,88.9,89.38,33.48,79.49,62.19,37.66,70.34,9.55,26.09,10.76,4.32,20.49,3.27,68.07,11.4,57.39,54.64,18.95,28.6,36.0,1.65,9.91,87.42,60.12,99.32,86.01,90.54,28.33
Haryana,Rural,State/UT,12484.0,15284.0,85.32,59.21,91.7,51.46,32.04,97.62,90.78,1630.64,94.42,61.07,93.95,17.78,33.42,10.87,77.92,94.58,81.63,88.28,89.39,31.35,79.97,66.01,43.27,69.1,12.66,28.05,11.83,4.37,21.84,3.33,71.46,16.93,61.9,57.22,22.74,35.28,39.8,2.04,13.65,78.75,44.14,98.23,84.55,42.64,24.2
Haryana,Total,State/UT,18229.0,21909.0,85.23,60.39,90.73,51.22,31.95,96.78,91.28,1666.26,94.91,57.46,94.41,19.45,33.94,11.73,76.89,94.95,80.55,88.46,89.38,31.95,79.84,64.91,41.61,69.45,11.77,27.49,11.53,4.36,21.45,3.31,70.43,15.09,60.41,56.45,21.64,33.34,38.71,1.91,12.46,81.67,49.53,98.59,85.03,59.51,25.65
